Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
cyclohexanol,313.15,-28.36744033,-25.21646042,933.15,100.1595,SLE,-5.71672181,1.94964e-05,-4.74746808,1.92e-06,3.15097991
cyclohexanol,308.15,-28.73788959,-25.49585086,938.08,100.1595,SLE,-5.92189554,1.21558e-05,-4.95035247,1.2e-06,3.242038730000001
cyclohexanol,303.15,-29.11061966,-25.78086221,943.03,100.1595,SLE,-6.13143079,7.503258e-06,-5.15759814,7.4e-07,3.3297574500000024
cyclohexanol,298.15,-29.48560345,-26.0716525,948.02,100.1595,SLE,-6.34541135,4.584273e-06,-5.36928869,4.5e-07,3.4139509500000003
"2,3-dihydropyran",403.15,-22.12730948,-23.55974382,840.91,84.1169,SLE,-1.29846407,0.3903864734,-0.43621127,0.05029629,-1.4324343400000004
"2,3-dihydropyran",398.15,-22.45099291,-23.91757814,845.34,84.1169,SLE,-1.33307318,0.3706505827,-0.4594833,0.0464437,-1.4665852299999997
"2,3-dihydropyran",393.15,-22.77754467,-24.27746862,849.81,84.1169,SLE,-1.36901398,0.3506815863,-0.48428243,0.04275491,-1.4999239499999995
"2,3-dihydropyran",388.15,-23.10693885,-24.63925879,854.3,84.1169,SLE,-1.40641143,0.3305200773,-0.51074336,0.03922731,-1.5323199400000007
"2,3-dihydropyran",383.15,-23.4391479,-25.00277982,858.83,84.1169,SLE,-1.44540311,0.3102148087,-0.53901488,0.03585889,-1.5636319200000024
"2,3-dihydropyran",378.15,-23.77414272,-25.36784241,863.39,84.1169,SLE,-1.4861448,0.289821455,-0.5692647,0.0326479,-1.5936996900000011
"2,3-dihydropyran",373.15,-24.11189277,-25.73426148,867.98,84.1169,SLE,-1.52879734,0.269410698,-0.6016692,0.02959393,-1.62236871
"2,3-dihydropyran",368.15,-24.45236622,-26.10182348,872.6,84.1169,SLE,-1.5735464,0.2490595356,-0.63642948,0.02669646,-1.649457260000002
